Soil_Type,count,Wilderness_Area
29,436,1
12,119,1
30,108,1
23,101,1
22,79,1
38,30,1
20,28,1
39,28,1
16,14,1
24,13,1
9,12,1
40,11,1
19,10,1
18,9,1
8,2,1
23,285,2
22,176,2
32,128,2
33,94,2
24,77,2
40,69,2
38,64,2
39,32,2
35,24,2
19,13,2
31,13,2
25,8,2
13,6,2
16,3,2
20,3,2
18,3,2
29,2,2
33,179,3
32,172,3
31,122,3
23,76,3
24,68,3
13,64,3
10,62,3
11,44,3
4,42,3
22,33,3
38,23,3
2,19,3
39,17,3
3,13,3
26,12,3
20,11,3
40,8,3
17,7,3
34,6,3
35,6,3
27,5,3
28,4,3
21,3,3
19,3,3
14,1,3
10,517,4
6,166,4
1,78,4
3,56,4
2,55,4
5,55,4
4,28,4
17,19,4
11,14,4
14,7,4
16,5,4
